Part 135 Certificate Holder Name,Certificate Designator,CFR,FAA Certificate Holding District Office,Registration Number,Serial Number,Aircraft Make/Model/Series,Manufacturer
"24/7 Jet, Inc.",1C6A,135,WP01 - Van Nuys (VNY),N116HL,5113,CL-600-2B16,Bombardier
"24/7 Jet, Inc.",1C6A,135,WP01 - Van Nuys (VNY),N890TX,HA 00-10,HAWKER-900XP,Hawker
26 NORTH AVIATION INC,26NA,135,EA05 - Allentown (ABE),N80EM,0013,CE-750,Cessna
26 NORTH AVIATION INC,26NA,135,EA05 - Allentown (ABE),N82EM,9239,BD-700-1A10,Bombardier
3D Jets LLC,DDDA,135,EA23 - Rochester (ROC),N113DJ,60-307,LR-60-60,Bombardier (Learjet)
"4 W Air, LLC",SKOC,135,AL03 - Anchorage  (ANC),N454GG,U20606487,CE-206-U206G,Cessna
"40 Mile Air, Ltd.",FMAA,135,AL01 - Fairbanks (FAI),N734GW,U20604832,CE-206-U206G,Cessna
"40 Mile Air, Ltd.",FMAA,135,AL01 - Fairbanks (FAI),N26FC,U20602541,CE-206-U206F,Cessna
"40 Mile Air, Ltd.",FMAA,135,AL01 - Fairbanks (FAI),N4978C,U20603870,CE-206-U206G,Cessna
"40 Mile Air, Ltd.",FMAA,135,AL01 - Fairbanks (FAI),N5200X,U20605591,CE-206-U206G,Cessna
"40 Mile Air, Ltd.",FMAA,135,AL01 - Fairbanks (FAI),N207DG,20700070,CE-207-T207,Cessna
"40 Mile Air, Ltd.",FMAA,135,AL01 - Fairbanks (FAI),N1541F,1850896,CE-185-D,Cessna
A B FLIGHT SERVICES INC,A2BA,135,GL15 - Minneapolis (MSP),N518SB,139A,LR-55-C,Bombardier (Learjet)
A B FLIGHT SERVICES INC,A2BA,135,GL15 - Minneapolis (MSP),N263MS,138,LR-55-C,Bombardier (Learjet)
"AB Jets, LLC",B5ZA,135,CE21 - Memphis (MEM),N561AB,60-308,LR-60-60,Bombardier (Learjet)
"AB Jets, LLC",B5ZA,135,CE21 - Memphis (MEM),N502AB,60-318,LR-60-60,Bombardier (Learjet)
"AB Jets, LLC",B5ZA,135,CE21 - Memphis (MEM),N557AB,60-259,LR-60-60,Bombardier (Learjet)
"AB Jets, LLC",B5ZA,135,CE21 - Memphis (MEM),N503AB,60-311,LR-60-60,Bombardier (Learjet)
"AB Jets, LLC",B5ZA,135,CE21 - Memphis (MEM),N510AB,60-036,LR-60-60,Bombardier (Learjet)
"AB Jets, LLC",B5ZA,135,CE21 - Memphis (MEM),N509AB,60-073,LR-60-60,Bombardier (Learjet)
